"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Враца - ЖП Гара","","","","1.04","",""
"Видин 2","","","","1.75","",""
"Плевен","","","","1.19","",""
"Пловдив - Каменица","","","","1.22","",""
"Пловдив - ж.к. Тракия","","","","1.61","",""
"Русе - Възраждане","","","","1.14","",""
"София - Надежда","","","","1.13","",""
"София - Хиподрума","","","","1.12","",""
"Гълъбово","2.04","","","","",""
