"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.01","",""
"Враца - ЖП Гара","","","","1.32","",""
"Видин 2","","","","1.31","",""
"Плевен","","","","1.08","",""
"Смолян - Библиотеката","","","","1.01","",""
"София - Надежда","","","","1.16","",""
