"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Бургас - кв. Долно Езерово","","","","1.42","",""
"Несебър","","","","1.19","",""
"Варна - СОУ Ангел Кънчев","","","","1.07","",""
"Г.Оряховица","","","","1.59","",""
"Враца - ЖП Гара","","","","1.29","",""
"Перник - Център","","","","1.43","",""
"Пловдив - Каменица","","","","1.22","",""
"Пловдив - ж.к. Тракия","","","","1.7","",""
"Русе - Възраждане","","","","2.87","",""
"Смолян - Библиотеката","","","","1.26","",""
"София - Надежда","","","","1.39","",""
"София - Хиподрума","","","","1.26","",""
"София - ИАОС/Павлово","","","","1.06","",""
"София - Младост","","","","1.13","",""
"Димитровград - Раковски","","","","1.14","",""
"Шумен","","","","1.09","",""
