"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Плевен","","","","2.18","",""
"Пловдив - Каменица","","","","1.92","",""
"Пловдив - ж.к. Тракия","","","","2.49","",""
"Смолян - Библиотеката","","","","1.27","",""
"София - Надежда","","","","1.34","",""
"София - Хиподрума","","","","1.5","",""
"София - ИАОС/Павлово","","","","1.27","",""
"София - Младост","","","","1.04","",""
"Димитровград - Раковски","","","","1.39","",""
