"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.42","",""
"Видин 2","","","","1.24","",""
"Перник - Център","","","","1.26","",""
"Плевен","","","","1.17","",""
"Ловеч","","","","1.03","",""
"Пловдив - ж.к. Тракия","","","","1.05","",""
"Рожен - КФС","","","","1.25","",""
"Смолян - Библиотеката","","","","1.29","",""
"София - Надежда","","","","1.52","",""
"София - Хиподрума","","","","1.32","",""
"София - ИАОС/Павлово","","","","1.37","",""
"София - Копитото","","","","1.54","",""
"София - Младост","","","","1.35","",""
