"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.4","",""
"Видин 2","","","","1.12","",""
"Плевен","","","","1.16","",""
"Пловдив - Каменица","","","","1.01","",""
"Пловдив - ж.к. Тракия","","","","1.25","",""
"Смолян - Библиотеката","","","","1.15","",""
"Димитровград - Раковски","1.42","","","","",""
"Кърджали - Студен Кладенец","","","","1.04","",""
