"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Бургас - кв. Долно Езерово","","","","1.22","",""
"Бургас - кв. Меден Рудник","","","","1.04","",""
"Несебър","","","","1.26","",""
"Варна - СОУ Ангел Кънчев","","","","1.18","",""
"Г.Оряховица","","","","1.14","",""
"Плевен","","","","2.09","",""
"Ловеч","","","","2.46","",""
"Пловдив - Каменица","","","","2.18","",""
"Пловдив - ж.к. Тракия","","","","2.75","",""
"Русе - Възраждане","","","","1.13","",""
"София - Надежда","","","","1.43","",""
"София - Хиподрума","","","","1.12","",""
"София - ИАОС/Павлово","","","","1.15","",""
"София - Младост","","","","1.12","",""
"Сливен","","","","1.11","",""
"Гълъбово","1.34","","","","",""
"Шумен","","","","1.36","",""
