"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Несебър","","","","1.34","",""
"Варна - СОУ Ангел Кънчев","","","","1.2","",""
"Добрич - ОУ Хан Аспарух","","","","1.12","",""
"Г.Оряховица","","","","2.23","",""
"Перник - Център","","","","1.79","",""
"Ловеч","","","","1.01","",""
"Пловдив - Каменица","","","","1.46","",""
"Пловдив - ж.к. Тракия","","","","2.86","",""
"Смолян - Библиотеката","","","","1.42","",""
"София - Дружба","","","","1","",""
"София - Надежда","","","","1.89","",""
"София - Хиподрума","","","","1.63","",""
"София - ИАОС/Павлово","","","","1.36","",""
"София - Младост","","","","1.24","",""
"Сливен","","","","1","",""
"Димитровград - Раковски","","","","1.21","",""
"Шумен","","","","1.37","",""
