"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Пловдив - Каменица","","","","1.08","",""
"Пловдив - ж.к. Тракия","","","","1.42","",""
"София - Надежда","","","","1.06","",""
"София - Хиподрума","","","","1.12","",""
"Гълъбово","1.52","","","","",""
