"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.1","",""
"Несебър","","","","1.06","",""
"Г.Оряховица","","","","1.09","",""
"Враца - ЖП Гара","","","","1.09","",""
"Плевен","","","","1.48","",""
"Пловдив - Каменица","","","","2.5","",""
"Пловдив - ж.к. Тракия","","","","3.05","",""
"Русе - Възраждане","","","","1.33","",""
"Смолян - Библиотеката","","","","1.91","",""
"София - Надежда","","","","1.09","",""
"София - Младост","","","","1.04","",""
"Димитровград - Раковски","","","","1.29","",""
"Шумен","","","","1.04","",""
