"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Плевен","","","","2.64","",""
"Пловдив - Каменица","","","","2.47","",""
"Пловдив - ж.к. Тракия","","","","3.05","",""
"Смолян - Библиотеката","","","","1.73","",""
"София - Надежда","","","","1.03","",""
"София - ИАОС/Павлово","","","","1.01","",""
