"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Г.Оряховица","","","","1.21","",""
"Враца - ЖП Гара","","","","1.04","",""
"Видин 2","","","","1.53","",""
"Плевен","","","","1.67","",""
"Пловдив - Каменица","","","","1.37","",""
"Пловдив - ж.к. Тракия","","","","1.76","",""
"София - Надежда","","","","1.38","",""
"София - Хиподрума","","","","1.15","",""
"Гълъбово","3.52","1.31","","","",""
