"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Несебър","","","","1.16","",""
"Г.Оряховица","","","","1.73","",""
"Перник - Център","","","","1.03","",""
"Плевен","","","","1.87","",""
"Пловдив - Каменица","","","","1.68","",""
"Пловдив - ж.к. Тракия","","","","2.3","",""
"Русе - Възраждане","","","","1.21","",""
"Смолян - Библиотеката","","","","1.55","",""
"София - Надежда","","","","1.61","",""
"София - Хиподрума","","","","1.32","",""
"София - ИАОС/Павлово","","","","1.51","",""
"Димитровград - Раковски","","","","1.03","",""
"Шумен","","","","1.7","",""
