"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Перник - Център","","","","1.01","",""
"Смолян - Библиотеката","","","","1.64","",""
"София - Надежда","","","","1.42","",""
"София - Хиподрума","","","","1.2","",""
"София - ИАОС/Павлово","","","","1.36","",""
"София - Копитото","","","","1.55","",""
"София - Младост","","","","1.13","",""
"Гълъбово","1.5","","","","",""
