"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Несебър","","","","1.44","",""
"Варна - СОУ Ангел Кънчев","","","","1.39","",""
"Добрич - ОУ Хан Аспарух","","","","1.11","",""
"Г.Оряховица","","","","2.12","",""
"Враца - ЖП Гара","","","","1.12","",""
"Перник - Център","","","","2.12","",""
"Ловеч","","","","1.09","",""
"Пловдив - Каменица","","","","1.68","",""
"Пловдив - ж.к. Тракия","","","","2.51","",""
"Русе - Възраждане","","","","1.73","",""
"Смолян - Библиотеката","","","","1.34","",""
"София - Надежда","","","","1.85","",""
"София - Хиподрума","","","","1.54","",""
"София - ИАОС/Павлово","","","","1.45","",""
"Димитровград - Раковски","","","","1.16","",""
"Шумен","","","","1.35","",""
