"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Бургас - кв. Долно Езерово","","","","1.03","",""
"Добрич - ОУ Хан Аспарух","","","","1.01","",""
"Г.Оряховица","","","","1.26","",""
"Плевен","","","","1.75","",""
"Русе - Възраждане","","","","1.12","",""
"Шумен","","","","1.12","",""
