"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Видин 2","","","","1.15","",""
"Перник - Център","4.19","1.02","","","",""
"Плевен","","","","1.28","",""
"Пловдив - Каменица","","","","1.22","",""
"Пловдив - ж.к. Тракия","","","","1.14","",""
"Русе - Възраждане","","","","1.03","",""
"Гълъбово","1.14","","","","",""
