"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.08","",""
"Бургас - кв. Долно Езерово","","","","1.53","",""
"Несебър","","","","1.15","",""
"Варна - СОУ Ангел Кънчев","","","","1.37","",""
"Перник - Център","","","","1.4","",""
"Русе - Възраждане","","","","1.44","",""
"Смолян - Библиотеката","","","","1.01","",""
"Гълъбово","1.19","","","","",""
