"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.01","",""
"Г.Оряховица","","","","1.53","",""
"Враца - ЖП Гара","","","","1.04","",""
"Видин 2","","","","2.62","",""
"Перник - Център","","","","1.48","",""
"Плевен","","","","2","",""
"Ловеч","","","","1.48","",""
"Пловдив - Каменица","","","","1.93","",""
"Пловдив - ж.к. Тракия","","","1.37","2.6","",""
"Русе - Възраждане","","","","1.48","",""
"София - Дружба","","","","1.13","",""
"София - Надежда","","","","2.24","",""
"София - Хиподрума","","","","1.76","",""
"София - ИАОС/Павлово","","","","1.61","",""
"София - Младост","","","","1.44","",""
"Стара Загора - Зелен Клин","","","","1.1","",""
"Гълъбово","2.41","1.17","","","",""
"Кърджали - Студен Кладенец","","","","1.1","",""
"Шумен","","","","1.3","",""
