"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Видин 2","","","","2.02","",""
"Плевен","","","","1.25","",""
"Пловдив - Каменица","","","","1.3","",""
"Пловдив - ж.к. Тракия","","","","1.62","",""
"Русе - Възраждане","","","","1.04","",""
"София - Надежда","","","","1.36","",""
"София - Хиподрума","","","","1.27","",""
"София - ИАОС/Павлово","","","","1.03","",""
