"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Благоевград","","","","1.9","",""
"Г.Оряховица","","","","1.14","",""
"Враца - ЖП Гара","","","","1.83","",""
"Видин 2","","","","1.46","",""
"Перник - Център","","","","1.32","",""
"Плевен","","","","1.23","",""
"Ловеч","","","","1.15","",""
"Пловдив - Каменица","","","","1.73","",""
"Пловдив - ж.к. Тракия","","","","2.16","",""
"Русе - Възраждане","","","","1.04","",""
"Смолян - Библиотеката","","","","1.44","",""
"София - Дружба","","","","1.11","",""
"София - Надежда","","","","2.55","",""
"София - Хиподрума","","","","2.1","",""
"София - ИАОС/Павлово","","","","2.05","",""
"София - Копитото","","","","1.75","",""
"София - Младост","","","","2.13","",""
"Гълъбово","2.08","1.89","","","",""
"Кърджали - Студен Кладенец","","","","1.18","",""
